species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Fumaria parviflora Lam.,pink-white,zygomorphic,bees,visited by small bees; weak nectar reward,mainly_selfing,likely_SC,inference,low
Rumex acetosella L.,greenish-red,inconspicuous,wind,dioecious wind-pollinated herb,obligate_outcrossing,unknown,flora,medium
Cerastium semidecandrum var. semidecandrum,white,radial,self,high selfing rates typical for Cerastium,mainly_selfing,likely_SC,inference,low
Lavatera cretica L.,pink-purple,radial,bees,bee-pollinated; abundant pollen,mixed_mating,likely_SC,review,medium
Limonium vulgare Mill.,lavender,radial,insects,visited by flies and bees; heterostyly-like system,obligate_outcrossing,SI,review,medium
Trifolium resupinatum L.,pink-white,papilionate,bees,visited by honeybees; forage legume,mixed_mating,SC,review,medium
Ulmus minor Mill.,greenish,inconspicuous,wind,early-flowering wind-pollinated tree,obligate_outcrossing,unknown,flora,medium
Veronica persica Poir.,blue,radial,self,mostly self-fertilizing annual,mainly_selfing,SC,review,medium
Helminthotheca echioides (L) Holub,yellow,radial,bees,visited by bees and flies; composite capitulum,mixed_mating,unknown,inference,low
Amaranthus deflexus L.,greenish,inconspicuous,wind,wind-pollinated amaranth,mixed_mating,unknown,flora,low
Ammophila arenaria (L.) Link,greenish,inconspicuous,wind,grass; fully wind-pollinated,obligate_outcrossing,unknown,flora,medium
Arum italicum Mill.,purple-green,zygomorphic/inflorescence,flies,sapromyiophilous; traps flies for pollination,obligate_outcrossing,unknown,field_study,medium
Melilotus indicus (L.) All.,yellow,small papilionoid legume flowers in racemes,bees,"Annual melilot with small yellow pea-flowers producing nectar and pollen, mainly visited by bees; generally self-compatible with both autonomous selfing and bee-mediated outcrossing.",mixed_mating,likely_SC,flora; inference,medium
Populus nigra L.,inconspicuous greenish,dioecious tree with catkins of reduced unisexual flowers,wind,"Poplar with male and female catkins on separate trees; produces abundant airborne pollen typical of wind pollination, enforcing outcrossing between individuals.",obligate_outcrossing,SI,review; inference,medium
Suaeda maritima (L.) Dumort.,greenish,"very small, reduced flowers in clusters",wind,"Halophytic chenopod with apetalous, inconspicuous flowers and exposed anthers; pollen is likely wind-dispersed with some potential for autonomous selfing.",mainly_selfing,SC,flora; inference,low
Trifolium stellatum L.,white to pinkish,small papilionoid clover heads,bees,"Clover with small pea-flowers aggregated in heads; nectar and pollen attract bees, but flowers are usually at least partly self-fertile.",mixed_mating,likely_SC,flora; inference,low
Anagallis arvensis L.,red; orange; blue,small rotate actinomorphic flowers with 5 petals,bees,Scarlet pimpernel with bright rotate flowers that open in sun; visited by small bees and flies but capable of extensive autonomous selfing.,mainly_selfing,SC,field_study; inference,medium
Draba muralis L.,white,small 4-petaled crucifer flowers,self,"Tiny brassicaceous flowers on short stems; many Draba species show predominant autogamy with limited insect visitation, and D. muralis is likely similar.",mainly_selfing,SC,flora; inference,low
Hypochaeris glabra L.,yellow,small ligulate capitula (dandelion-like),bees,"Composite with yellow heads providing pollen and some nectar to small bees and flies; probably allows both selfing and insect-mediated outcrossing, but detailed data are scarce.",mixed_mating,unknown,flora; inference,low
Hypochaeris radicata L.,yellow,dandelion-like ligulate capitula,bees,"Perennial composite with yellow heads frequently visited by bees and flies; reported to have both sexual and apomictic reproduction, suggesting mixed mating.",mixed_mating,unknown,review; inference,low
Picris echioides L.,yellow,ligulate capitula with strap-shaped florets,bees,Yellow composite heads offer pollen and nectar to bees and flies; likely capable of both selfing and outcrossing as in many Asteraceae weeds.,mixed_mating,unknown,flora; inference,low
Populus × canescens (Aiton) Sm.,inconspicuous greenish,dioecious hybrid poplar with catkins of reduced flowers,wind,Hybrid poplar with separate male and female trees bearing catkins; wind-dispersed pollen and dioecy together enforce cross-pollination.,obligate_outcrossing,SI,review; inference,medium
Senecio jacobaea Loscos & Pardo,yellow,radiate capitula with central disc and ray florets,bees,"Ragwort-type composite with yellow heads attracting bees, flies and butterflies; many related taxa are largely self-incompatible but some selfing can occur.",mixed_mating,likely_SI,flora; inference,low
Trifolium pratense L.,pink; purple-red,papilionoid legume flowers in dense heads,bumblebees,Red clover with deep corollas requiring long-tongued bumblebees for effective pollination; generally self-incompatible and largely obligately outcrossing.,obligate_outcrossing,SI,field_study; review,high
Zostera L.,inconspicuous,highly reduced seagrass flowers along spadix-like inflorescences,wind,Seagrass genus using hydrophilous (water) pollination with filamentous pollen; functional analogue of wind pollination with little evidence for animal vectors.,mixed_mating,unknown,review; inference,low
Asparagus officinalis L.,greenish-white,"small bell-shaped actinomorphic flowers, often functionally dioecious",bees,"Asparagus has small nectariferous flowers visited by bees and flies; plants are typically dioecious or subdioecious, promoting cross-pollination.",obligate_outcrossing,SI,review; inference,medium
Robinia pseudoacacia L.,white,large fragrant papilionoid flowers in hanging racemes,bees,"Black locust with nectar-rich, fragrant pea-flowers heavily visited by honeybees and bumblebees; usually predominantly outcrossing with limited selfing.",obligate_outcrossing,likely_SI,field_study; inference,medium
Veronica arvensis L.,blue; pale blue,small 4-lobed tubular to rotate flowers,self,"Small speedwell with short corolla tube; often self-pollinates as flowers barely open, though small insects may occasionally visit.",mainly_selfing,SC,flora; inference,medium
Alyssum minus (L.) Rothm.,yellow,small 4-petaled crucifer flowers in racemes,bees,Tiny yellow brassicaceous flowers accessible to small bees and flies; likely capable of both autonomous selfing and insect-mediated outcrossing.,mixed_mating,unknown,flora; inference,low
Medicago arabica (L.) Huds.,yellow,small papilionoid legume flowers,bees,Prostrate annual legume with small yellow pea-flowers visited by bees; many Medicago species are highly self-compatible and often predominantly selfing.,mainly_selfing,SC,flora; inference,medium
Orobanche hederae Duby,pale purple; yellowish,tubular zygomorphic flowers on leafless spike,self,Holoparasitic broomrape on Hedera with tubular flowers; many Orobanche exhibit high levels of autogamy with limited pollinator dependence.,mainly_selfing,SC,flora; inference,low
Poa trivialis subsp. trivialis,greenish,reduced grass florets in open panicles,wind,Perennial meadow grass with non-showy florets and exposed anthers typical of wind pollination; often capable of substantial selfing via geitonogamy and cleistogamy.,mainly_selfing,SC,flora; inference,medium
Senecio inaequidens DC.,yellow,radiate capitula with yellow ray and disc florets,bees,"Invasive ragwort with yellow heads visited by bees, flies and butterflies; largely cross-pollinated but some self-compatibility has been reported.",mixed_mating,likely_SI,field_study; inference,medium
Valerianella carinata Loisel.,white; pale bluish,very small actinomorphic flowers in cymes,self,"Corn-salad relative with tiny, inconspicuous flowers; many Valerianella species are predominantly autogamous with limited need for pollinators.",mainly_selfing,SC,flora; inference,low
Allium roseum L.,pink; pale pink,small star-shaped flowers in umbels,bees,"Ornamental and wild onion with nectariferous umbels attracting bees, flies and other insects; generally self-compatible with both selfing and outcrossing.",mixed_mating,likely_SC,flora; horticulture; inference,medium
Elytrigia juncea subsp. boreoatlantica (Simonet & Guin.) Hyl.,greenish,slender spikes of reduced grass florets,wind,Coastal grass with spikes of inconspicuous florets and exposed anthers; typical wind-pollinated reproductive system with likely substantial selfing.,mainly_selfing,SC,flora; inference,low
Anthemis cotula L.,white; yellow disc,radiate capitula with white ray and yellow disc florets,bees,Stinking mayweed with daisy-like heads producing nectar and pollen for bees and flies; capable of both selfing and insect-mediated outcrossing.,mixed_mating,unknown,flora; inference,low
"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.",lilac; purple with yellow palate,small zygomorphic snapdragon-like flowers,self,Ivy-leaved toadflax with both chasmogamous and cleistogamous flowers; predominantly self-pollinating though visited by small bees.,mainly_selfing,SC,field_study; inference,medium
Fumaria muralis subsp. boraei (Jord.) Pugsley,pink; pale purple,small spurred zygomorphic flowers in racemes,self,Delicate fumitory with small spurred flowers; many Fumaria taxa are highly autogamous with only occasional insect pollination.,mainly_selfing,SC,flora; inference,low
Origanum vulgare L.,pink; purple,bilabiate labiaceous flowers in spikes,bees,"Oregano produces nectar-rich labiate flowers in dense inflorescences; strongly visited by bees and hoverflies, with protandry promoting outcrossing but some selfing possible.",mixed_mating,likely_SI,field_study; inference,medium
Phytolacca americana L.,white; greenish-white,small actinomorphic flowers in racemes,bees,Pokeweed with small nectariferous flowers along racemes attracting bees and flies; generally self-compatible with both selfing and outcrossing.,mixed_mating,likely_SC,flora; inference,medium
Senecio vulgaris L.,yellow,small discoid capitula without rays,self,"Groundsel with small heads that often self-pollinate before opening (cleistogamy), though insects may also transfer pollen between capitula.",mainly_selfing,SC,field_study; review,high
Trifolium suffocatum L.,pink; pale pink,small papilionoid flowers,bees,Small clover visited by small bees; self-compatible and often autogamous.,mainly_selfing,SC,flora; inference,medium
Viola kitaibeliana Schult.,pale violet; white,zygomorphic plus cleistogamous,self,Tiny violet producing many cleistogamous flowers; predominantly selfing.,mainly_selfing,SC,field_study; inference,high
Cerastium semidecandrum L.,white,small 5-petaled actinomorphic,self,"Small Caryophyllaceae herb; largely autogamous, few insect visits.",mainly_selfing,SC,flora; inference,medium
Ephedra distachya subsp. distachya,yellowish; greenish,reduced unisexual cone-like,wind,Gnetalean shrub with exposed pollen sacs; strictly wind-pollinated.,obligate_outcrossing,SI,review; inference,medium
Euphorbia characias L.,yellow-green,cyathia with glands,bees,Cyathia produce nectar attracting bees and flies; generally outcrossing but self-compatible.,mixed_mating,likely_SC,field_study; inference,medium
Trifolium campestre Schreb.,yellow,small papilionoid flowers,bees,Hop clover; self-compatible with frequent autonomous selfing.,mainly_selfing,SC,flora; inference,medium
Cistus salviifolius L.,white with yellow center,open 5-petaled,bees,Showy flowers offering pollen; mostly outcrossing but self-compatible.,mixed_mating,likely_SC,field_study; inference,medium
Salsola kali var. kali,greenish,reduced apetalous,wind,Chenopod with tiny wind-pollinated flowers; substantial selfing likely.,mainly_selfing,SC,flora; inference,low
Arenaria serpyllifolia L.,white,tiny 5-petaled,self,Very small flowers; mostly autogamous.,mainly_selfing,SC,flora; inference,medium
Carpobrotus edulis (L.) N.E.Br.,yellow; pinkish,large actinomorphic,bees,Large nectariferous flowers attracting bees; largely self-incompatible.,mixed_mating,likely_SI,field_study; review,high
Convolvulus soldanella L.,pink; pale lilac,funnel-shaped,bees,Coastal bindweed; visited by bees; outcrossing but self-compatible.,mixed_mating,likely_SC,flora; inference,medium
Erodium cicutarium (L.) L'Hér.,pink; pale purple,5-petaled actinomorphic,bees,Small crane’s-bill; highly self-compatible and often autogamous.,mainly_selfing,SC,field_study; review,high
Falcaria vulgaris Bernh.,white,small umbels,mixed,Apiaceae attracting flies and bees; mixed mating expected.,mixed_mating,unknown,flora; inference,low
Galium aparine L.,greenish-white,tiny 4-petaled,self,Inconspicuous flowers; primarily autogamous.,mainly_selfing,SC,flora; inference,medium
Koeleria albescens DC.,greenish,reduced grass florets,wind,Wind-pollinated grass; likely high selfing.,mainly_selfing,SC,flora; inference,medium
Viburnum tinus L.,white,small actinomorphic umbels,bees,Nectar-rich umbels visited by bees; mostly outcrossing.,mixed_mating,likely_SI,field_study; inference,medium
Asparagus officinalis subsp. officinalis,greenish-white,"small bell-shaped, dioecious",bees,Dioecious/subdioecious; bees visit; obligately outcrossing.,obligate_outcrossing,SI,review; inference,medium
Corynephorus canescens (L.) P.Beauv.,greenish,reduced grass florets,wind,Dune grass typical of wind pollination; self-compatible.,mainly_selfing,SC,flora; inference,low
